시도본부,119안전센터명,주소,전화번호,FAX,위도,경도
광주광역시,비아119안전센터,광주광역시 광산구 비아로12번길 10(비아동),062-606-4671,062-606-4684,35.2207615646222,126.82361254924
광주광역시,빛그린119안전센터,광주광역시 광산구 삼도로 65(삼거동),062-606-4731,062-606-4744,35.1650269369012,126.671358487754
광주광역시,송정119안전센터,광주광역시 광산구 상무대로 93-1(도산동),062-606-4641,062-606-4654,35.1291275580212,126.785494369408
광주광역시,신가119안전센터,광주광역시 광산구 수등로 236(신가동),062-606-4686,062-606-4699,35.184899640916,126.834783972802
광주광역시,월곡119안전센터,광주광역시 광산구 우산로 85번길 12-5(우산동),062-606-4656,062-606-4669,35.1573786468173,126.809972323255
광주광역시,첨단119안전센터,광주광역시 광산구 임방울대로825번길 16(쌍암동),062-606-4701,062-606-4714,35.2187761746166,126.84916639493
광주광역시,평동119안전센터,광주광역시 광산구 월전로 59(월전동),062-606-4716,062-606-4729,35.1243451127666,126.773988762627
광주광역시,하남119안전센터,광주광역시 광산구 하남산단1번로 13(하남동),062-606-4601,062-606-4629,35.1860355882358,126.79656403261
광주광역시,대촌119안전센터,광주광역시 남구 회재로 251(지석동),062-606-4441,062-606-4454,35.0857839239438,126.828830972696
광주광역시,봉선119안전센터,광주광역시 남구 오방로 63(방림동),062-606-4426,062-606-4439,35.1310206509394,126.918986688343
광주광역시,송하119안전센터,광주광역시 남구 송암로58번길 13(송하동),062-606-4371,062-606-4399,35.1105075675122,126.878340652978
광주광역시,월산119안전센터,광주광역시 남구 수박등로 1(월산동),062-606-4411,062-606-4424,35.1406130131608,126.894676110442
광주광역시,대인119안전센터,광주광역시 동구 제봉로 210(대인동),062-606-4201,062-606-4229,35.1544942942489,126.914804784324
광주광역시,용산119안전센터,광주광역시 동구 남문로 535(용산동),062-606-4241,062-606-4254,35.1187432884057,126.933075134225
광주광역시,지산119안전센터,광주광역시 동구 밤실로30번길 16(지산동),062-606-4256,062-606-4269,35.1499586827579,126.938544457704
광주광역시,건국119안전센터,광주광역시 북구 용두마을길 10,062-606-4576,062-606-4589,35.2196332733355,126.877964288481
광주광역시,동림119안전센터,광주광역시 북구 북문대로 202(동림동),062-606-4561,062-606-4574,35.1864715696746,126.87029106156
광주광역시,두암119안전센터,광주광역시 북구 삼정로 5(두암동),062-606-4546,062-606-4559,35.1623968350747,126.936820863847
광주광역시,문흥119안전센터,광주광역시 북구 서하로 290(오치동),062-606-4461,062-606-4489,35.186288409879,126.912007146738
광주광역시,우산119안전센터,광주광역시 북구 동문대로 127(우산동),062-606-4516,062-606-4529,35.1744981260011,126.925875872643
광주광역시,일곡119안전센터,광주광역시 북구 설죽로 529(일곡동),062-606-4531,062-606-4544,35.206335469492,126.897301992454
광주광역시,임동119안전센터,광주광역시 북구 서림로 5(임동),062-606-4501,062-606-4514,35.1688675829341,126.890709077159
광주광역시,금호119안전센터,광주광역시 서구 운천로 112(쌍촌동),062-606-4326,062-606-4339,35.142713056313,126.858291647224
광주광역시,상무119안전센터,광주광역시 서구 치평로 65(치평동),062-606-4341,062-606-4354,35.1532734790409,126.847090991607
광주광역시,염주119안전센터,광주광역시 서구 염화로 77(화정동),062-606-4311,062-606-4324,35.1415567447599,126.873826825466
광주광역시,풍암119안전센터,광주광역시 서구 회재로 907(금호동),062-606-4356,062-606-4369,35.1237043065474,126.862675176889
광주광역시,화정119안전센터,광주광역시 서구 화운로 197(화정동),062-606-4271,062-606-4299,35.1566943238505,126.876225371873
